["neural networks", 754.4627860270758]
["deep boltzmann machines", 81.52284961415789]
["loss function", 81.43714209940379]
["information retrieval", 79.76648786835368]
["feature space", 78.9215186911242]
["learning methods", 77.63248422271387]
["machine learning research", 77.25301979683681]
["model parameters", 76.24618986159398]
["unlabeled data", 73.36579376330418]
["convolutional layers", 71.89757456529578]
["artificial neural networks", 71.67812383647261]
["signal processing", 71.18448526941243]
["training examples", 70.8303336014054]
["feature representation", 70.73032437390499]
["supervised learning", 70.66653549999457]
["objective function", 70.41996646510655]
["intermediate domain", 69.43968592534188]
["gp ei mcmc", 69.07755278982138]
["test time", 68.11396189742281]
["network architectures", 66.64121335905715]
["feature extraction", 66.03387785347391]
["intermediate domains", 65.306963563477]
["recurrent networks", 65.0333645526637]
["deep network", 63.158044015445014]
["approximate inference", 62.666420176473785]
["recent work", 62.34527709275764]
["hyperparameter optimization", 62.321278920809135]
["ieee conference", 62.285154625350835]
["parameter space", 62.285154625350835]
["lower layers", 62.12266624470001]
["unsupervised feature learning", 60.611324939756535]
["function evaluations", 59.914645471079815]
["deep autoencoders", 59.49748022518054]
["output layer", 59.01653293246501]
["natural images", 58.05926125153569]
["error rate", 57.871638670583685]
["dimensionality reduction", 57.734644584654355]
["machine translation", 57.28272195832893]
["large number", 57.15285294512401]
["random search", 56.428885864153806]
["deep convolutional neural networks", 56.421768393858585]
["downpour sgd", 56.32455072852801]
["semisupervised learning", 56.04695910973355]
["g e", 55.47992057773954]
["contrastive divergence", 54.60841667599692]
["bayesian optimization", 54.1248433373053]
["contractive autoencoders", 54.02691511591508]
["hessianfree optimization", 54.02691511591508]
["ieee international conference", 53.876733279783586]
["deep architecture", 53.39517456105946]
["classification accuracy", 53.303401670795544]
["deep autoencoder", 52.67918572255584]
["face recognition", 52.67918572255584]
["optimization problem", 52.42531478719484]
["exhaustive search", 52.41444686504]
["international joint conference", 51.86826007034787]
["generative model", 51.754989481809254]
["multiple layers", 51.45295382094199]
["hidden unit", 51.31495883788513]
["machine intelligence", 50.927448650417844]
["network architecture", 50.927448650417844]
["probabilistic models", 50.927448650417844]
["y lecun", 50.593663875438146]
["information processing", 50.36580938707373]
["learning algorithms", 50.28195795191921]
["training samples", 49.90659700031606]
["yoshua bengio", 48.7340377917692]
["language model", 48.70260344653613]
["zeroshot learning", 48.16462684895568]
["adversarial examples", 47.931716376863854]
["score matching", 47.50303193307465]
["generalization performance", 47.24239980131149]
["convolutional layer", 47.111023666663044]
["multimodal learning", 47.111023666663044]
["imagenet classification", 47.032413238937245]
["bounding box", 46.55058457269521]
["optimization algorithms", 46.55002951340968]
["biological cybernetics", 46.365636800374745]
["language proc", 46.16908843430766]
["robust pattern recognition", 45.61335153230075]
["dense block", 45.56001018316904]
["phone recognition", 45.09531239289477]
["audio processing", 44.3614195558365]
["deep belief nets", 44.3614195558365]
["colour spaces", 44.11712894833843]
["ttl framework", 43.604139076846124]
["optimization procedure", 43.274594347016425]
["sparse representations", 43.274594347016425]
["test error", 42.597824220389846]
["image recognition", 42.49820016084324]
["convolutional deep belief networks", 42.316326295393935]
["j hoffman", 41.74726696938817]
["test set", 41.41554403845673]
["language modeling", 41.08159348881514]
["training time", 41.03918971938459]
["compare sec", 40.7642196375723]
["restricted boltzmann machines", 40.40754995983769]
["output units", 40.379733059055006]
["input space", 40.16474581937271]
["sandblaster lbfgs", 39.66498681678703]
["international journal", 39.5787916904045]
["speech synthesis", 39.50938929191688]
["pattern recognition system", 39.09715845625779]
["ground truth", 39.04853306809715]
["experimental results", 38.94451955620188]
["generalization error", 38.51655780283703]
["classification performance", 38.445539148653495]
["unsupervised manner", 38.277706729163725]
["recent advances", 37.91270281543094]
["training procedure", 37.57483285265014]
["l bottou", 37.42994775023704]
["large vocabulary speech recognition", 37.33115464563884]
["recognition tasks", 37.18592514073784]
["inception architecture", 37.09250944029979]
["feature spaces", 36.94680261461362]
["knowledge transfer", 36.907823985443336]
["energy function", 36.89718399001761]
["noisy data", 36.841361487904734]
["object categories", 36.83177347273081]
["invariant features", 36.418684149491675]
["training error", 36.28703828220981]
["classification error", 35.94878728264789]
["feature hierarchies", 35.92215554583057]
["higher layers", 35.909291004461515]
["feature detectors", 35.88736902471207]
["learning rates", 35.62727394980599]
["gaussian process", 35.58155526874386]
["graphical models", 35.42752256195276]
["sparse autoencoders", 35.33326774999728]
["word embeddings", 35.20465261432873]
["domain knowledge", 35.11945714837056]
["deep neural network", 35.00610786342324]
["logistic regression", 34.912633610116366]
["small number", 34.788693097032]
["image segmentation", 34.68446109475397]
["validation set", 34.30774528499836]
["visual representations", 34.00146698694148]
["transition layers", 33.9985601286746]
["acoustic modeling", 33.526357904665225]
["random initialization", 33.489746814957655]
["sparse representation", 33.489746814957655]
["classification tasks", 33.4523437213529]
["k saenko", 33.27106466687737]
["distributed representations", 32.95836866004329]
["computational graph", 32.38882877083084]
["deep belief network", 32.38882877083084]
["recognition systems", 32.38882877083084]
["recent years", 32.30378644724401]
["learning approach", 32.29863212224087]
["g e hinton", 32.23619130191664]
["pascal voc", 32.23619130191664]
["data augmentation", 32.109751232637116]
["recognition accuracy", 31.9544775845759]
["distribution shift", 31.79408933685781]
["highlevel features", 31.79408933685781]
["underlying factors", 31.79408933685781]
["recurrent neural network", 31.780538303479457]
["deep da", 31.718335429601606]
["early stopping", 31.6686879553831]
["model replicas", 31.6686879553831]
["previous layer", 31.6686879553831]
["fast learning algorithm", 31.354942159291497]
["feature representations", 31.354942159291497]
["feature vector", 31.18885934999851]
["future work", 31.17263854637882]
["input layer", 31.17263854637882]
["source data", 31.17263854637882]
["feature extractor", 31.16534678461838]
["real applications", 31.16534678461838]
["closedworld assumption", 30.91042453358316]
["large amounts", 30.779392289538443]
["tpe algorithm", 30.779392289538443]
["language models", 30.691235612491717]
["pattern analysis", 30.498475944637594]
["joint distribution", 30.348903457909728]
["hierarchical representations", 29.989840591576833]
["hidden markov models", 29.957322735539908]
["hybrid deep networks", 29.957322735539908]
["r salakhutdinov", 29.788552212124312]
["lstm rnns", 29.11322564970491]
["decision trees", 29.029630625767844]
["early examples", 29.029630625767844]
["joint training", 29.029630625767844]
["b hariharan", 28.774743273580448]
["dnn weights", 28.774743273580448]
["deep learning algorithms", 28.60248447313151]
["deep learning techniques", 28.60248447313151]
["c szegedy", 28.563919505370855]
["pretrained models", 28.33213344056216]
["partition function", 27.94026032632959]
["convolutional neural network", 27.907212772717333]
["h  x", 27.725887222397812]
["minibatch size", 27.710101960960213]
["r girshick", 27.63102111592855]
["slow feature analysis", 27.400701939510807]
["h larochelle", 27.333973147668004]
["input events", 27.333973147668004]
["speech recognition tasks", 27.331262940992332]
["unsupervised domain adaptation", 27.209579053297244]
["feature vectors", 27.0805020110221]
["component analysis", 26.976803073697535]
["network model", 26.931968253346135]
["label information", 26.915526768534054]
["output representations", 26.78903459577207]
["deep nns", 26.68616645155789]
["parameter server", 26.537634912866476]
["geometric criterion", 26.499950812497964]
["intermediate layers", 26.499950812497964]
["learning techniques", 26.499950812497964]
["statistic criterion", 26.499950812497964]
["conditional distribution", 26.483781919566216]
["loss functions", 26.390573296152585]
["recent studies", 26.390573296152585]
["b scholkopf", 26.376848000782076]
["input units", 26.376848000782076]
["efficient learning", 26.01334582106548]
["standard deviation", 26.01334582106548]
["target domain data", 26.01334582106548]
["temporal coherence", 26.01334582106548]
["conditional distributions", 25.751006598945605]
["stateoftheart performance", 25.751006598945605]
["lecture notes", 25.649493574615366]
["nips workshop", 25.649493574615366]
["probability p", 25.649493574615366]
["document analysis", 25.498920096505945]
["energybased model", 25.498920096505945]
["geoffrey e hinton", 25.498920096505945]
["ieee", 25.442578862906224]
["evolutionary computation", 25.424430642783566]
["q yang", 25.08463256919277]
["collaborative filtering", 25.083953727433197]
["conditional computation", 25.083953727433197]
["deconvolutional network", 25.083953727433197]
["optimization parameters", 25.083953727433197]
["learning models", 25.049464360195444]
["learned features", 24.95329850015803]
["g hinton", 24.953298500158027]
["feature maps", 24.849066497880003]
["related work", 24.849066497880003]
["special case", 24.849066497880003]
["deep boltzmann machine", 24.72833962686653]
["deep learning approach", 24.72833962686653]
["maxnorm regularization", 24.72833962686653]
["rectified linear units", 24.72833962686653]
["support vector machine", 24.72833962686653]
["false positives", 24.37245180991989]
["multiple levels", 24.37245180991989]
["robust features", 24.37245180991989]
["training images", 24.37245180991989]
["longterm dependencies", 24.356179501787384]
["stateoftheart results", 24.356179501787384]
["p vincent", 24.169470350698415]
["pattern classification", 24.110131136194866]
["ieee signal processing magazine", 24.037910431396025]
["deep models", 23.978952727983707]
["input patterns", 23.751515966537326]
["multiple tasks", 23.751515966537326]
["source domains", 23.751515966537326]
["target samples", 23.751515966537326]
["object classification", 23.7472750142427]
["receptive fields", 23.56700413903814]
["decision boundaries", 23.555511833331522]
["european conference", 23.555511833331522]
["feature engineering", 23.555511833331522]
["probabilistic model", 23.555511833331522]
["single hidden layer", 23.555511833331522]
["classification task", 23.28783556249821]
["exponential number", 23.122974063169316]
["gaussian processes", 23.122974063169316]
["icml workshop", 23.08454421715383]
["j schmidhuber", 23.08454421715383]
["multiple flat segmentations", 23.070858062030304]
["noisecontrastive estimation", 23.070858062030304]
["activation function", 22.901192060183423]
["adversarial reconstruction", 22.806675766150374]
["adaptive behavior", 22.66570675244973]
["object hypotheses", 22.66570675244973]
["greedy layerwise training", 22.532130774077405]
["natural language", 22.411758838104898]
["large amount", 22.364159848092005]
["weight space", 22.364159848092005]
["fewer parameters", 22.18070977791825]
["heterogeneous da", 22.18070977791825]
["information flow", 22.18070977791825]
["convex optimization", 22.0832923437483]
["hidden markov model", 22.0832923437483]
["intermediate domain selection algorithm", 21.981369876777876]
["j donahue", 21.972245773362197]
["m ranzato", 21.972245773362197]
["test data", 21.972245773362197]
["hidden unit activations", 21.948459511504048]
["reconstruction function", 21.948459511504048]
["probability distribution", 21.716701174044296]
["maximum likelihood", 21.677788184221235]
["contextdependent deep neural networks", 21.665507475865347]
["complex systems", 21.66440160881768]
["architecture criterion", 21.637297173508212]
["language understanding", 21.637297173508212]
["optimization algorithm", 21.637297173508212]
["regularization methods", 21.637297173508212]
["siamesetriplet network", 21.637297173508212]
["simultaneous detection", 21.637297173508212]
["label noise", 21.581057455185338]
["j wang", 21.50111363073666]
["da methods", 21.49079420127776]
["backpropagation algorithm", 21.459172165788004]
["j malik", 21.405011639608446]
["error rates", 21.36306697584003]
["domain confusion loss", 21.31165706406396]
["long shortterm memory", 21.31165706406396]
["optimization problems", 21.31165706406396]
["large datasets", 21.112458636922067]
["random fields", 21.0325847311846]
["unified architecture", 20.970125914877936]
["risk minimization", 20.965778746016]
["optimization strategies", 20.903294772861]
["multicolumn deep neural networks", 20.79441541679836]
["r fergus", 20.79441541679836]
["early work", 20.723265836946414]
["wide range", 20.723265836946414]
["batch normalization", 20.61107285416508]
["dnnhmm architecture", 20.61107285416508]
["dynamic programming", 20.61107285416508]
["statistical pattern recognition", 20.60392322691088]
["belief network", 20.584647170999016]
["manual search", 20.519594859692294]
["psd predictor", 20.519594859692294]
["training loss", 20.519594859692294]
["visible units", 20.519594859692294]
["input data", 20.467423048835965]
["genetic algorithms", 20.23260230527315]
["learning procedure", 20.23260230527315]
["intermediate representations", 19.993227061051222]
["transitive transfer learning", 19.993227061051222]
["base network", 19.879253198304003]
["dropout rbms", 19.879253198304003]
["large models", 19.879253198304003]
["target model", 19.879253198304003]
["upper layers", 19.879253198304003]
["cost function", 19.878357520326908]
["basic assumptions", 19.832493408393514]
["lowlevel features", 19.832493408393514]
["percentage points", 19.832493408393514]
["j e", 19.775021196025975]
["cl liu", 19.709354161508603]
["open space", 19.57197329044939]
["distributed representation", 19.548579228128894]
["d erhan", 19.45910149055313]
["input x", 19.45910149055313]
["hidden variables", 19.408121055678468]
["multiple sources", 19.408121055678468]
["previous section", 19.408121055678468]
["semantic hashing", 19.408121055678468]
["validation error", 19.408121055678468]
["accurate object detection", 19.313254949209202]
["classincremental learning", 19.313254949209202]
["regularization hypothesis", 19.313254949209202]
["surface normal estimation", 19.313254949209202]
["deep learners", 19.237120180961526]
["large vocabulary continuous speech recognition", 19.143206982445477]
["computational complexity", 19.068322982087675]
["imagetoimage translation", 19.068322982087675]
["intermediate domain data", 19.068322982087675]
["rich feature hierarchies", 19.068322982087675]
["class labels", 19.050950981708002]
["basis functions", 18.95635140771547]
["class criterion", 18.95635140771547]
["online learning", 18.95635140771547]
["weight matrices", 18.95635140771547]
["credit assignment paths", 18.812965295574898]
["support vector machines", 18.812965295574898]
["d j", 18.676408907357867]
["generative pretraining", 18.546254720149896]
["learned representation", 18.546254720149896]
["multiple colour spaces", 18.546254720149896]
["posterior distribution", 18.546254720149896]
["practical applications", 18.546254720149896]
["representational power", 18.546254720149896]
["strong results", 18.47340130730681]
["deepstructured conditional random fields", 18.44439727056968]
["ieee press", 18.420680743952367]
["image data", 18.420680743952367]
["onestep da", 18.420680743952367]
["p sermanet", 18.420680743952367]
["yann lecun", 18.420680743952367]
["statistical parametric speech synthesis", 18.317808230648232]
["distribution matching", 18.26713462634054]
["multilayer perceptron", 18.26713462634054]
["regularization effect", 18.26713462634054]
["variational inference", 18.26713462634054]
["large scale", 18.224004073267615]
["connectionist temporal classification", 18.05458956322112]
["network weights", 18.05366800734807]
["search strategy", 18.053668007348065]
["function f", 18.036916561786693]
["credit assignment", 18.011141972928804]
["activation functions", 17.974393641323946]
["autoencoder variants", 17.974393641323946]
["bayesian neural nets", 17.974393641323946]
["deep representations", 17.974393641323946]
["discriminative model", 17.974393641323946]
["higherlevel features", 17.974393641323946]
["initialization seeds", 17.974393641323946]
["phonetic recognition", 17.974393641323946]
["redundancy reduction", 17.974393641323946]
["sequence recognition", 17.974393641323946]
["unsupervised fashion", 17.974393641323946]
["zip code recognition", 17.974393641323946]
["current state", 17.954645502230758]
["great success", 17.954645502230758]
["output layers", 17.954645502230758]
["pseudo labels", 17.954645502230758]
["semantic space", 17.813636974902995]
["conversational speech transcription", 17.776740307447067]
["evolutionary computation conference", 17.776740307447067]
["selective search strategy", 17.703817036775103]
["computational power", 17.66663387499864]
["data representation", 17.66663387499864]
["multiple modalities", 17.66663387499864]
["optimization effect", 17.66663387499864]
["reconstruction loss", 17.66663387499864]
["regularization term", 17.66663387499864]
["standard neural net", 17.66663387499864]
["target distribution", 17.66663387499864]
["d c", 17.577796618689757]
["deep caps", 17.577796618689757]
["san mateo", 17.577796618689757]
["network training", 17.55972857418528]
["apr vol", 17.51319134149782]
["e tzeng", 17.51319134149782]
["x zhang", 17.51319134149782]
["fundamental deep learning problem", 17.482537807332402]
["earlier work", 17.394346548516]
["fixed number", 17.394346548516]
["input vector", 17.394346548516]
["search space", 17.394346548516]
["single layer", 17.394346548516]
["total number", 17.394346548516]
["action recognition", 17.342230547376985]
["connection science", 17.342230547376985]
["document retrieval", 17.342230547376985]
["history compressor", 17.342230547376985]
["model distribution", 17.342230547376985]
["object delineation", 17.342230547376985]
["training algorithm", 17.342230547376985]
["feedforward networks", 17.225460572935447]
["predictive sparse decomposition", 17.16993602242573]
["dropout nn  maxnorm constraint", 17.005986908310778]
["independent component analysis", 17.005986908310778]
["natural language understanding", 17.005986908310778]
["noiserobust speech recognition", 17.005986908310778]
["scalable unsupervised learning", 17.005986908310778]
["underlying explanatory factors", 17.005986908310778]
["unsupervised feature discovery", 17.005986908310778]
["acoustic features", 16.9992800643373]
["l2 regularization", 16.9992800643373]
["region foreground", 16.9992800643373]
["neural nets", 16.985091515655125]
["multimodal multitask learning", 16.83647914993237]
["growth rate", 16.785266909588593]
["high recall", 16.785266909588593]
["leon bottou", 16.785266909588593]
["test errors", 16.785266909588593]
["automatic speech recognition", 16.66102255087602]
["computer vision applications", 16.66102255087602]
["probabilistic interpretation", 16.66102255087602]
["sparse deep belief net model", 16.66102255087602]
["unsupervised neural networks", 16.66102255087602]
["adversarial loss", 16.635532333438686]
["dnn architecture", 16.635532333438686]
["dsn architecture", 16.635532333438686]
["parameter values", 16.635532333438686]
["partbased models", 16.635532333438686]
["sds task", 16.635532333438686]
["unlabeled videos", 16.635532333438686]
["adversarialbased approaches", 16.479184330021646]
["manifold tangent classifier", 16.479184330021646]
["r j", 16.479184330021646]
["evolution strategies", 16.47652750454695]
["expected improvement", 16.47652750454695]
["convolutional architecture", 16.29048269010741]
["discriminative information", 16.29048269010741]
["distinctive image features", 16.29048269010741]
["minimum description length", 16.29048269010741]
["aaron courville", 16.24830120661326]
["experiment size", 16.24830120661326]
["gaussian kernel", 16.24830120661326]
["hugo larochelle", 16.24830120661326]
["global optimization", 16.19441438541542]
["speech data", 16.185793091389]
["j mach", 16.125835223052494]
["deep model", 16.11809565095832]
["l1 penalty", 16.11809565095832]
["cognitive science society", 16.094379124341003]
["computer vision community", 16.094379124341003]
["directed graphical models", 16.094379124341003]
["gp ei", 16.094379124341003]
["h lee", 16.094379124341003]
["local denoising criterion", 16.094379124341003]
["optimization difficulties", 16.094379124341003]
["random variables", 16.08101458899073]
["semantic matching", 16.054875616318558]
["deep cnn", 15.94238515287874]
["input distribution", 15.897044668428904]
["bayesian neural networks", 15.890269151739728]
["computational efficiency", 15.890269151739728]
["deep learning approaches", 15.890269151739728]
["regularized autoencoders", 15.890269151739728]
["scaleinvariant keypoints", 15.890269151739728]
["semisupervised embedding", 15.890269151739728]
["straightforward strategy", 15.890269151739728]
["inference time", 15.83434397769155]
["latent factors", 15.83434397769155]
["long time lags", 15.83434397769155]
["mixture models", 15.83434397769155]
["mnist data set", 15.83434397769155]
["neural systems", 15.83434397769155]
["pascal vincent", 15.83434397769155]
["single machine", 15.83434397769155]
["grid search", 15.826108800469246]
["learning approaches", 15.70367455555435]
["convolutional structure", 15.677471079645748]
["optimization hypothesis", 15.677471079645748]
["optimization techniques", 15.677471079645748]
["person reidentification", 15.677471079645748]
["web search", 15.657578632359511]
["y zhang", 15.567281192442506]
["deep generative models", 15.45521226679158]
["deep stacking networks", 15.45521226679158]
["function approximation", 15.45521226679158]
["hierarchical structure", 15.45521226679158]
["humanlevel performance", 15.45521226679158]
["loglikelihood gradient", 15.45521226679158]
["decision tree", 15.389696144769221]
["external data", 15.389696144769221]
["feature reuse", 15.389696144769221]
["higher levels", 15.389696144769221]
["model replica", 15.389696144769221]
["previous work", 15.389696144769221]
["training case", 15.389696144769221]
["deep cnns", 15.380572041353537]
["gp ei opt", 15.380572041353537]
["test sets", 15.380572041353537]
["top layer", 15.380572041353537]
["unsup  ft", 15.380572041353537]
["feature analysis", 15.249237972318797]
["current stateoftheart", 15.222612188617115]
["deep generative model", 15.222612188617115]
["fullsequence training", 15.222612188617115]
["invariance properties", 15.222612188617115]
["linear transformation", 15.222612188617115]
["pretraining procedure", 15.222612188617115]
["robust classification", 15.222612188617115]
["shallow architectures", 15.222612188617115]
["transferable features", 15.222612188617115]
["adversarial discriminative domain adaptation", 15.136758535673044]
["acquisition function", 14.978661367769954]
["audio classification", 14.978661367769954]
["detailed description", 14.978661367769954]
["empirical evaluation", 14.978661367769954]
["markov random fields", 14.978661367769954]
["parameter efficiency", 14.978661367769954]
["related applications", 14.978661367769954]
["surf interest points", 14.978661367769954]
["image features", 14.95465820115313]
["central idea", 14.909439898728003]
["dense blocks", 14.909439898728003]
["dropout nets", 14.909439898728003]
["good results", 14.909439898728003]
["group method", 14.909439898728003]
["image domain", 14.909439898728003]
["n srivastava", 14.909439898728003]
["noisy labels", 14.909439898728003]
["pseudo label", 14.909439898728003]
["single model", 14.909439898728003]
["small amount", 14.909439898728003]
["small subset", 14.909439898728003]
["wide variety", 14.909439898728003]
["feedforward neural networks", 14.831265897019481]
["weight matrix", 14.819707398666656]
["visual cortex", 14.748458805403835]
["big data assumption", 14.722194895832201]
["dnnderived features", 14.722194895832201]
["explicit invariance", 14.722194895832201]
["good representation", 14.722194895832201]
["manifold hypothesis", 14.722194895832201]
["mapreduce framework", 14.722194895832201]
["marcaurelio ranzato", 14.722194895832201]
["previous millennium", 14.722194895832201]
["secondorder methods", 14.722194895832201]
["sexual reproduction", 14.722194895832201]
["vector quantization", 14.722194895832201]
["learning problem", 14.556090791758852]
["training restricted boltzmann machines", 14.550344638905543]
["empirical risk", 14.514815312883922]
["network models", 14.514815312883922]
["van der maaten", 14.514815312883922]
["context prediction", 14.451858789480823]
["convolutional nets", 14.451858789480823]
["effective strategy", 14.451858789480823]
["feature extractors", 14.451858789480823]
["global consistency", 14.451858789480823]
["human intelligence", 14.451858789480823]
["information theory", 14.451858789480823]
["learning framework", 14.451858789480823]
["singlelayer models", 14.451858789480823]
["speaker adaptation", 14.451858789480823]
["weightsharing fnns", 14.451858789480823]
["deep convolutional activation feature", 14.443671650576897]
["deep sparse rectifier neural networks", 14.443671650576897]
["simplecell receptive field properties", 14.443671650576897]
["denoising autoencoders", 14.42486478233881]
["andrew y ng", 14.387371636790224]
["huge number", 14.387371636790224]
["r chellappa", 14.387371636790224]
["target task", 14.387371636790224]
["v vanhoucke", 14.387371636790224]
["x wang", 14.33407575382444]
["markov chain", 14.288213236281003]
["classification layer", 14.229728299381456]
["neural probabilistic language model", 14.221392245957654]
["character recognition", 14.207771376042642]
["annual conference", 14.16606672028108]
["clickthrough data", 14.16606672028108]
["domain complexity", 14.16606672028108]
["dssm architecture", 14.16606672028108]
["empirical results", 14.16606672028108]
["exemplar learning", 14.16606672028108]
["human performance", 14.16606672028108]
["identity function", 14.16606672028108]
["linear classifier", 14.16606672028108]
["manifold learning", 14.16606672028108]
["mitosis detection", 14.16606672028108]
["nonlinear dimensionality reduction", 14.105442098464646]
["unsupervised layerwise pretraining", 14.105442098464646]
["inference mechanism", 13.98608515104059]
["conversational speech recognition", 13.986030245865921]
["principal components", 13.980083943251955]
["visual object recognition", 13.948461907762201]
["gibbs chain", 13.907792582230549]
["baseline methods", 13.862943611198906]
["dbnpretrained nn", 13.862943611198906]
["deep feedforward neural networks", 13.862943611198906]
["fewshot learning", 13.862943611198906]
["learning process", 13.862943611198906]
["region proposals", 13.862943611198906]
["side information", 13.862943611198906]
["similar approach", 13.862943611198906]
["stochastic depth", 13.862943611198906]
["taylor expansion", 13.862943611198906]
["y  y", 13.862943611198906]
["relu units", 13.815510557964275]
["domaininvariant representations", 13.735948817940585]
["generative adversarial networks", 13.735948817940585]
["good generalization performance", 13.735948817940585]
["largescale image classification", 13.735948817940585]
["statistical machine translation", 13.735948817940585]
["sentiment classification", 13.665631470496166]
["le roux", 13.621371043387192]
["z zhang", 13.621371043387192]
["generative adversarial network", 13.604789526648622]
["probabilistic graphical models", 13.604789526648622]
["sentiment classification tasks", 13.604789526648622]
["structural pattern recognition", 13.604789526648622]
["alex krizhevsky", 13.54025100551105]
["building blocks", 13.54025100551105]
["indirect search", 13.54025100551105]
["large data sets", 13.54025100551105]
["nonlinear units", 13.54025100551105]
["pose parameters", 13.54025100551105]
["prior knowledge", 13.54025100551105]
["training signal", 13.54025100551105]
["unknown samples", 13.54025100551105]
["unsupervised da", 13.54025100551105]
["25th international conference", 13.469183319945897]
["handwritten digit recognition", 13.469183319945897]
["independent subspace analysis", 13.469183319945897]
["principal components analysis", 13.469183319945897]
["stochastic maximum likelihood", 13.469183319945897]
["crossclass transfer learning", 13.328818040700815]
["multiple explanatory factors", 13.328818040700815]
["nonconvex objective function", 13.328818040700815]
["principal component analysis", 13.328818040700815]
["restricted boltzmann machine", 13.328818040700815]
["theoretical computer science", 13.328818040700815]
["supervised training", 13.249975406248982]
["global context", 13.195286648076292]
["hessian matrix", 13.195286648076292]
["input features", 13.195286648076292]
["kernel methods", 13.195286648076292]
["maximum recall", 13.195286648076292]
["random weights", 13.195286648076292]
["recurrent nets", 13.195286648076292]
["small fraction", 13.195286648076292]
["sparse feature", 13.195286648076292]
["sparse updates", 13.195286648076292]
["text documents", 13.195286648076292]
["line search", 13.188424000391038]
["b schiele", 13.183347464017316]
["c lampert", 13.183347464017316]
["convolutional architectures", 13.183347464017316]
["cpu cores", 13.183347464017316]
["cycle gan", 13.183347464017316]
["deep big simple neural nets", 13.183347464017316]
["deep fnns", 13.183347464017316]
["dense convolutional network", 13.183347464017316]
["nips deep learning workshop", 13.183347464017316]
["o vinyals", 13.183347464017316]
["p j", 13.183347464017316]
["pattern recognition systems", 13.183347464017316]
["san diego", 13.183347464017316]
["signal processing community", 13.183347464017316]
["text data", 13.183347464017316]
["transfer learning challenge", 13.183347464017316]
["batch size", 13.047982193632928]
["computational neuroscience", 13.032386152085929]
["generic visual recognition", 13.032386152085929]
["speech recognition systems", 13.032386152085929]
["spikeandslab sparse coding", 13.032386152085929]
["unsupervised deep networks", 13.032386152085929]
["explanatory factors", 12.955531508332339]
["complementary information", 12.875503299472802]
["multimodal language model", 12.875503299472802]
["onestep domain adaptation", 12.875503299472802]
["robust speech recognition", 12.875503299472802]
["y jia", 12.875503299472802]
["accuracy", 12.861731017056762]
["d wardefarley", 12.824746787307683]
["image patches", 12.824746787307683]
["k kavukcuoglu", 12.824746787307683]
["map inference", 12.824746787307683]
["mountain view", 12.824746787307683]
["output events", 12.824746787307683]
["special cases", 12.824746787307683]
["static images", 12.824746787307683]
["tangent space", 12.824746787307683]
["tracked patch", 12.824746787307683]
["directed graphical model", 12.712215321391783]
["framelevel cross entropy", 12.712215321391783]
["learning representations", 12.712215321391783]
["rectifier nonlinearities", 12.712215321391783]
["binary latent variables", 12.541976863716599]
["class label information", 12.541976863716599]
["classification problems", 12.541976863716599]
