["deep learning", 1947.753816140493]
["test classes", 94.42645269194401]
["learning approach", 94.38141952387271]
["random initialization", 94.3801955694261]
["minibatch size", 94.12637808961088]
["deep learning models", 92.86770048017371]
["linear regression", 92.55163590583639]
["learning method", 92.55159804943436]
["large amounts", 92.33817686861532]
["data distribution", 92.33699853128668]
["posterior distribution", 92.2160998585231]
["target instances", 92.18857501447272]
["yann lecun", 92.10340371976184]
["g e", 92.00877917595419]
["component analysis", 91.82488738547046]
["convolutional deep belief networks", 91.6853736400202]
["learning architectures", 91.57213268074011]
["unsupervised manner", 91.27760835415965]
["online learning", 90.99048675703426]
["log p", 90.20516299690172]
["j hoffman", 90.086207670785]
["feature extractor", 89.71842256178019]
["action recognition", 88.87893155530706]
["activation functions", 88.80206382320759]
["probability distribution", 88.74104157048495]
["vector representations", 88.43815908219626]
["score matching", 88.40842054211116]
["advances neural inf", 88.3331693749932]
["hidden unit", 88.27251972989002]
["matrix factorization", 87.99963553564848]
["learning techniques", 87.84242954513213]
["classification performance", 87.46736090534594]
["distributed representations", 87.33967694911472]
["predictive accuracy", 87.15539378332663]
["ilya sutskever", 87.08889187730352]
["small number", 86.97173274258002]
["comprehensive survey", 86.87623593306573]
["ecom search", 86.80380887530103]
["standard deviation", 86.42211556109531]
["function f", 86.41889677143278]
["baseline methods", 85.95025038943322]
["learned features", 85.95025038943322]
["contractive autoencoders", 85.80745341939453]
["deep learning algorithms", 85.80745341939453]
["context information", 85.38873039582677]
["ranking models", 85.37350461305361]
["r salakhutdinov", 85.30358133471962]
["intermediate domain", 84.75777918600538]
["evolutionary computation", 84.74810214261188]
["average precision", 84.68159883901357]
["image data", 84.20882625806796]
["class labels", 83.74135409785562]
["deep learning approach", 83.45814624067454]
["supplementary material", 83.45814624067454]
["support vector machine", 83.45814624067454]
["ranking model", 82.54473386739853]
["restricted boltzmann machines", 82.49874783466862]
["feature transformation", 82.10581516733028]
["input features", 81.81077721807301]
["information processing", 81.60352076865954]
["input image", 81.34398579262164]
["classification problem", 81.1734626881923]
["sofware engineering", 80.97207192707711]
["optimization algorithms", 80.53269354596974]
["annual international acm sigir conference", 80.46072811192667]
["sparse representations", 80.36710378731621]
["natural language", 80.24197949070425]
["building blocks", 80.22598720765298]
["vector space", 80.13823945566301]
["input vector", 79.51701279321601]
["visual applications", 79.49985243749389]
["recognition tasks", 79.4433021673363]
["learning architecture", 79.43435814787476]
["k saenko", 79.01877858383376]
["surrogate model", 78.53345583196409]
["source code", 78.53107018414664]
["_ i1", 78.25392652252624]
["genetic algorithms", 78.04003746319644]
["input layer", 77.53194715381399]
["deep software language models", 77.4478040896889]
["stateoftheart performance", 77.25301979683681]
["parameter server", 76.80070760604194]
["target task", 76.73264872954786]
["largescale image recognition", 76.64070373402969]
["computational complexity", 76.2732919283507]
["social network", 76.20278039264059]
["learning approaches", 76.16282159443858]
["clickthrough data", 76.02455806550846]
["aaron courville", 75.82540563086188]
["feature hierarchies", 75.57393379860531]
["feature detectors", 75.55235584149911]
["regularization term", 75.45124884114003]
["unlabelled data", 75.37406393067818]
["receptive fields", 75.1679609140563]
["deep belief nets", 74.8598955004741]
["negative samples", 74.8598955004741]
["previous section", 74.8598955004741]
["training procedure", 74.50736087021224]
["inf retrieval", 74.38353136638456]
["j schmidhuber", 74.38353136638456]
["ir models", 74.30614025173398]
["big data", 74.16674831991413]
["kl divergence", 73.95603980680764]
["descriptive accuracy", 73.89472941433178]
["source domains", 73.89360522922723]
["deep learning architectures", 73.60702334076335]
["feature selection", 73.38022561105599]
["alex krizhevsky", 73.11735542975967]
["parameter space", 73.11735542975967]
["prior knowledge", 73.11735542975967]
["deep belief network", 72.62949481943886]
["convolutional network", 72.17309072956115]
["catastrophic forgetting", 72.11636696637044]
["network representation", 71.97713141391507]
["intermediate domains", 71.46961281193093]
["invariant features", 71.43347344514807]
["peer competitors", 71.39415959767436]
["martin wistuba", 71.25454789961198]
["biological cybernetics", 71.09397642724127]
["ieee trans med imaging", 71.09397642724127]
["generative adversarial nets", 70.86049261909308]
["vertex attributes", 70.8303336014054]
["ladder network", 70.72673643368893]
["maxout networks", 70.40930522865746]
["c szegedy", 70.31118647475903]
["j donahue", 70.31118647475903]
["hessianfree optimization", 69.9171842676548]
["test error", 69.91485646000103]
["test data", 69.76188033042497]
["feature engineering", 69.68505584027243]
["da methods", 69.60891858051231]
["test sets", 69.57877828231362]
["input images", 69.577386194064]
["network parameters", 69.36892218950794]
["prediction accuracy", 69.32815414582801]
["good performance", 69.31471805599453]
["training classes", 69.31471805599453]
["gp ei mcmc", 69.07755278982138]
["r girshick", 69.07755278982138]
["statistical machine translation", 68.67974408970292]
["previous layer", 68.61549056999672]
["query terms", 68.57980480203341]
["network model", 68.56964615613842]
["dropout training", 68.39052181524794]
["interpretation methods", 68.00293397388296]
["latent representations", 68.00293397388296]
["cnn architectures", 67.9971202573492]
["deep autoencoders", 67.9971202573492]
["fair comparison", 67.70125502755525]
["gabriela csurka", 67.70125502755525]
["social networks", 67.24991332737154]
["b scholkopf", 67.14106763835437]
["domain shift", 67.092479544276]
["h larochelle", 67.092479544276]
["sparse autoencoders", 66.98598677603651]
["learned representation", 66.97258648943018]
["backpropagation algorithm", 66.95261715725857]
["heterogeneous domain adaptation", 66.77197342054451]
["ambrish rawat", 66.68868329399996]
["principal component analysis", 66.64409020350408]
["l feifei", 66.54212933375474]
["tejaswini pedapati", 66.47855043161178]
["deep autoencoder", 66.19555574347477]
["deep supervision", 66.19555574347477]
["deep learning method", 65.9061100181878]
["latent space", 65.85002621938202]
["object categories", 65.16390691329298]
["promising results", 65.16390691329298]
["partition function", 65.0333645526637]
["implementation details", 64.91189152052463]
["standard deviations", 64.77765754166168]
["jiafeng guo", 64.743172365556]
["test images", 64.743172365556]
["learned vertex representations", 64.62275025158095]
["large amount", 64.60757289448802]
["search spaces", 64.12373393653841]
["fullyconnected layers", 63.93497119219188]
["stateoftheart results", 63.93497119219188]
["weak supervision", 63.76954061151497]
["class label", 63.6364514704183]
["optimization procedure", 63.58715904051394]
["internal covariate shift", 63.56107660695891]
["convolutional architecture", 63.5328824914189]
["target images", 63.48249659717303]
["accelerating deep network training", 63.47448944309091]
["large datasets", 63.3373759107662]
["output units", 63.116628904615204]
["risk minimization", 63.03899690525081]
["function evaluations", 62.910377744633806]
["fast learning algorithm", 62.70988431858299]
["generalization error", 62.48241599126895]
["variational distribution", 62.40542066865057]
["large scale", 62.39856365437538]
["r fergus", 62.383246250395075]
["temporal coherence", 62.14299279476754]
["generalization performance", 61.90383422240816]
["probabilistic model", 61.83321856249525]
["toxicity prediction", 61.83321856249525]
["deep residual learning", 61.82084906716632]
["marginal distributions", 61.82084906716632]
["cnn architecture", 61.627085689784224]
["nips workshop", 61.558784579076885]
["oriol vinyals", 61.558784579076885]
["p vincent", 61.522288165414146]
["acoustic modeling", 61.52120404236356]
["cooccurrence data", 61.38628912121802]
["side information", 60.99695188927519]
["vertex labels", 60.917547239711496]
["learning rates", 60.69831858115094]
["sentiment classification", 60.58165114100772]
["x zhang", 60.32321462071471]
["weight matrix", 60.276309900346114]
["random walks", 60.258986257359005]
["graphical models", 60.240791328664336]
["target samples", 60.17050711522789]
["adversarial examples", 59.914645471079815]
["wide range", 59.867212417845195]
["data distributions", 59.7343496631874]
["robust features", 59.577104424248624]
["validation data", 59.577104424248624]
["o vinyals", 59.32506358807793]
["noisecontrastive estimation", 59.325063588077924]
["semantic matching", 59.11971844597304]
["querycentric context", 58.916068046561826]
["data representation", 58.888779583328805]
["nasnet search space", 58.888779583328805]
["validation accuracy", 58.888779583328805]
["hinge loss", 58.8438412654034]
["conditional distribution", 58.64953886914845]
["unlabeled target instances", 58.64573768438668]
["handcrafted features", 58.416779334302824]
["network models", 58.41113556215105]
["heterogeneous transfer learning", 58.37778247624749]
["j weston", 58.2243631670354]
["evaluation measures", 58.15266983853719]
["decision trees", 58.05926125153569]
["ian goodfellow", 58.05926125153569]
["classification results", 57.957046000468424]
["random fields", 57.827949150041924]
["document retrieval", 57.807435157923294]
["information theory", 57.807435157923294]
["image patches", 57.71136054288458]
["upper bound", 57.549486547160896]
["joint training", 57.39949691913187]
["biomedical imaging", 57.22936080634406]
["single model", 57.15285294512401]
["special case", 57.15285294512401]
["hidden markov models", 56.918913197525825]
["noneuclidean domains", 56.918913197525825]
["conditional gan", 56.869054223146414]
["multiple levels", 56.869054223146414]
["grid search", 56.86437361207565]
["l2 regularization", 56.66426688112432]
["mitosis detection", 56.66426688112432]
["link prediction", 56.48218990870324]
["evolutionary algorithms", 56.438895886724694]
["j malik", 56.431394322604085]
["nick craswell", 56.428885864153806]
["downpour sgd", 56.32455072852801]
["edge detection", 56.24490933742519]
["d m blei", 56.144921625355565]
["latent dirichlet allocation", 56.029226722073595]
["svm proprank", 55.91039962023001]
["window size", 55.836704209447774]
["common subspace", 55.78583414270553]
["search engines", 55.7134325140999]
["deep generative models", 55.63876416044969]
["image retrieval", 55.51502912259531]
["belief network", 55.420203921920425]
["early stopping", 55.420203921920425]
["environmental science  wwwfrontiersinorg", 55.33319181170904]
["andrew y ng", 55.151591274362524]
["v vanhoucke", 55.151591274362524]
["evaluation metrics", 54.917063400027125]
["research questions", 54.917063400027125]
["sentiment analysis", 54.917063400027125]
["semantic similarity", 54.766565012495796]
["feature map", 54.58738062193938]
["citation network", 54.527578204049036]
["d erhan", 54.48548417354877]
["imagenet large scale visual recognition challenge", 54.48548417354877]
["gaussian process", 54.4302943892336]
["time complexity", 54.1610040220442]
["greedy layerwise training", 53.91617006654236]
["higher levels", 53.86393650669227]
["david wardefarley", 53.83105353706811]
["ieee sig proc mag", 53.83105353706811]
["object detectors", 53.78822121145175]
["baseline method", 53.77413970760103]
["visual features", 53.77413970760103]
["j wang", 53.75278407684165]
["phone recognition", 53.61311404906378]
["depth images", 53.42549297044201]
["letor methods", 53.008953387538426]
["exhaustive search", 52.88664908904937]
["object classification", 52.86398050956125]
["anomaly detection", 52.697768199445626]
["research directions", 52.63184675260012]
["conditional distributions", 52.574971806180606]
["data analysis", 52.52570205932104]
["software engineering", 52.42531478719484]
["accuracy", 52.22233871718679]
["cambridge university press", 52.129544608343714]
["distributed representation", 52.129544608343714]
["random variables", 52.063054895391446]
["computational cost", 52.02669164213096]
["highlevel features", 52.02669164213096]
["softmax function", 51.986038541995896]
["distribution p", 51.901460815766754]
["spike trains", 51.76888853725001]
["deeplysupervised nets", 51.75688144129819]
["fitness evaluation", 51.70553922458694]
["y jia", 51.50201319789121]
["retrieval models", 51.446924068227055]
["response surface", 51.29289136143595]
["training objective", 51.06323438949891]
["final performance", 50.99784019301189]
["sparse representation", 50.99575083186733]
["chemical information", 50.927448650417844]
["ruslan salakhutdinov", 50.927448650417844]
["term embeddings", 50.91134378072155]
["objectness measure", 50.8705429389725]
["variational autoencoders", 50.84886128556713]
["p sermanet", 50.65687204586901]
["e tzeng", 50.593663875438146]
["product search", 50.58193215095912]
["deep convolutional activation feature", 50.55285077701914]
["m ranzato", 50.53616527873305]
["m welling", 50.53616527873305]
["top1 accuracy", 50.44400403007689]
["independent component analysis", 50.337721248599905]
["input distribution", 50.29246858739326]
["trevor darrell", 50.14208926268991]
["multimodal learning", 50.055462645829486]
["deeptox pipeline", 49.90659700031606]
["good results", 49.698132995760005]
["n srivastava", 49.698132995760005]
["ourswo parts", 49.698132995760005]
["weighted sum", 49.698132995760005]
["training error", 49.4823249302861]
["anomaly classification", 49.45667925373306]
["humanlevel performance", 49.45667925373306]
["ranking function", 49.213449819756114]
["domain discrepancy", 49.136319884234794]
["training instances", 49.136319884234794]
["generic visual recognition", 48.87144807032223]
["basis functions", 48.74490361983978]
["bhaskar mitra", 48.7340377917692]
["k kavukcuoglu", 48.7340377917692]
["query q", 48.64775372638283]
["ieee int symp biomedical imaging", 48.520302639196174]
["aaai conference", 48.44400915305065]
["noisy data", 48.354286952874965]
["b schiele", 48.33894070139683]
["energybased model", 48.16462684895568]
["pretrained models", 48.16462684895568]
["neural models", 48.092800452403814]
["multilayer perceptron", 47.95122839414391]
["crossmodal retrieval", 47.931716376863854]
["weight decay", 47.92319967448286]
["network weights", 47.84222021947238]
["r socher", 47.82715545863622]
["ndcg", 47.7600766992272]
["medical images", 47.50303193307465]
["pascal vincent", 47.50303193307465]
["recognition systems", 47.33751897275277]
["highdimensional data", 47.332569922153056]
["largescale hierarchical image database", 47.28862007644301]
["p qi2qd cðqi", 47.213226345972004]
["wide variety", 47.213226345972004]
["building block", 47.17314976687275]
["audio processing", 47.13400827807628]
["multiple sources", 47.13400827807628]
["temperature scaling", 47.111023666663044]
["collaborative filtering", 47.032413238937245]
["zeroshot classification", 47.032413238937245]
["deep features", 47.0240715534615]
["object classes", 46.843267600670835]
["principal components", 46.73342346744226]
["shortterm memory", 46.67191015770298]
["deep boltzmann machine", 46.365636800374745]
["inception architecture", 46.365636800374745]
["training dataset", 46.34184007172206]
["neural probabilistic language model", 46.219524799362375]
["language proc", 46.16908843430766]
["test examples", 46.16908843430766]
["w bruce croft", 46.16908843430766]
["vice versa", 46.05170185988092]
["future research", 46.03685341873757]
["higher accuracy", 46.03685341873757]
["large data sets", 46.03685341873757]
["input x", 45.923479517705395]
["automatic colorization", 45.85046305814836]
["maximum likelihood", 45.6678737747594]
["optimization problems", 45.667836565851346]
["stateoftheart methods", 45.667836565851346]
["robust pattern recognition", 45.61335153230075]
["source classification loss", 45.61335153230075]
["dense block", 45.56001018316904]
["tiny images", 45.56001018316904]
["christian szegedy", 45.33141350489946]
["koray kavukcuoglu", 45.33141350489946]
["learning problem", 45.32579824183295]
["learning setting", 45.15358776219072]
["accurate object detection", 45.06426154815481]
["probability distributions", 45.06426154815481]
["reliability diagrams", 44.93598410330986]
["nearest neighbors", 44.926668741462855]
["tangent space", 44.886613755576896]
["ablation study", 44.86397460345939]
["controller rnn", 44.86397460345939]
["important role", 44.86397460345939]
["recent studies", 44.86397460345939]
["weight vectors", 44.86397460345939]
["world wide web", 44.86397460345939]
["deep convolutional neural network", 44.75529678677095]
["jeff donahue", 44.72831969618401]
["small amount", 44.72831969618401]
["deep learning approaches", 44.49275362487124]
["rich feature hierarchies", 44.49275362487124]
["large vocabulary speech recognition", 44.44185076861767]
["andrew zisserman", 44.3614195558365]
["target domain data", 44.319033621074524]
["underlying factors", 44.319033621074524]
["generative adversarial network", 44.21556596160802]
["visual representation learning", 44.21556596160802]
["community structure", 44.1665846874966]
["evaluation protocol", 44.1665846874966]
["good representation", 44.1665846874966]
["highorder proximity", 44.1665846874966]
["pretrained networks", 44.1665846874966]
["colour spaces", 44.11712894833843]
["quoc v le", 43.94449154672439]
["vertex vi", 43.94449154672439]
["deep representations", 43.93740667879187]
["sparse autoencoder", 43.933650720021696]
["hidden unit activations", 43.896919023008095]
["learned representations", 43.896919023008095]
["selfsupervised learning", 43.896919023008095]
["case study", 43.74911676688687]
["k simonyan", 43.74911676688687]
["detection results", 43.63148549846573]
["ttl framework", 43.604139076846124]
["discriminative model", 43.438117966532865]
["largescale evolution", 43.438117966532865]
["convolutional cell", 43.35557636844247]
["efficient learning", 43.35557636844247]
["euclidean distance", 43.35557636844247]
["jurgen schmidhuber", 43.35557636844247]
["geoffrey hinton", 43.32880321763536]
["khoshgoftaar tm", 43.32880321763536]
["model selection", 43.32880321763536]
["spectral domain", 43.32880321763536]
["validation sets", 43.32880321763536]
["reconstruction loss", 43.32531640773476]
["large margin", 43.30837303916229]
["svm classifier", 43.28054020569024]
["linear transformations", 43.274594347016425]
["image clustering", 43.252384066940586]
["convolutional cells", 43.185105027774455]
["round robin", 43.162114910370676]
["q yang", 43.00222726147332]
["learning framework", 42.77750201686324]
["softmax layer", 42.74915595769228]
["classification problems", 42.72110869203466]
["classification loss", 42.694365197913385]
["knowledge units", 42.65179066735981]
["labeled training data", 42.62331412812792]
["long shortterm memory", 42.62331412812792]
["retrieval performance", 42.62331412812792]
["entity representations", 42.50183373367685]
["computer graphics", 42.49820016084324]
["image classification tasks", 42.35525499427927]
["software language modeling", 42.35525499427927]
["reconstruction function", 42.32917191504352]
["speech synthesis", 42.281978014156664]
["color images", 42.24341304639601]
["jianfeng gao", 42.24341304639601]
["multiple tasks", 42.224917273844135]
["rankprob model", 42.224917273844135]
["source samples", 42.224917273844135]
["exp", 42.19568014843638]
["data point", 41.95821725011373]
["correlation analysis", 41.94025182975587]
["differential privacy", 41.94025182975587]
["unsupervised fashion", 41.94025182975587]
["pooling layer", 41.89417283853843]
["classincremental learning", 41.845385723286604]
["data samples", 41.829261938098]
["multicolumn deep neural networks", 41.58883083359672]
["parameter values", 41.58883083359672]
["acm sigkdd international conference", 41.47906071737649]
["click data", 41.44653167389283]
["decision boundaries", 41.22214570833016]
["k chen", 41.21046779224526]
["l deng", 41.21046779224526]
["image representations", 41.10105290926621]
["mnist dataset", 41.03918971938459]
["tomas mikolov", 41.03918971938459]
["se tasks", 40.89568365303677]
["compare sec", 40.7642196375723]
["ranking svm", 40.7642196375723]
["hyperparameter settings", 40.761424807078946]
["performance improvement", 40.761424807078946]
["covariate shift", 40.62075301653315]
["local relevance", 40.62075301653315]
["main difference", 40.62075301653315]
["receptive field", 40.62075301653315]
["context prediction", 40.4652046105463]
["relevant documents", 40.4652046105463]
["text matching", 40.397952380019206]
["visible units", 40.397952380019206]
["neural nets", 40.3953126725264]
["feature values", 40.24562427663269]
["computational graph", 40.24066604860801]
["fewer parameters", 40.20253647247683]
["h  x", 40.20253647247683]
["imagenet dataset", 40.20253647247683]
["twostream architecture", 40.183551893658105]
["document classification", 40.13432596389312]
["biomedical signal processing", 39.986454122102444]
["computer vision applications", 39.986454122102444]
["intermediate representations", 39.986454122102444]
["canonical correlation analysis", 39.96406923453033]
["move predictors", 39.9437404662576]
["query term", 39.801828036039936]
["deep propdcg", 39.758506396608006]
["dropout rate", 39.758506396608006]
["label spaces", 39.758506396608006]
["single layer", 39.758506396608006]
["output layers", 39.756715040653816]
["target distribution", 39.74992621874694]
["semantic representations", 39.725672879349325]
["contextaware ranking", 39.69345262459038]
["identity function", 39.66498681678703]
["pairwise approach", 39.66498681678703]
["sandblaster lbfgs", 39.66498681678703]
["inference time", 39.58585994422888]
["synthetic data", 39.58585994422888]
["christopher d manning", 39.5787916904045]
["slow feature analysis", 39.5787916904045]
["acm press", 39.55004239205195]
["main idea", 39.55004239205195]
["small set", 39.55004239205195]
["p perona", 39.50938929191688]
["experimental setup", 39.50174735791425]
["understanding convolutional networks", 39.418708323017206]
["learning task", 39.3292234810769]
["logistic loss", 39.3292234810769]
["log", 39.30082015990039]
["computational resources", 39.193677699114374]
["pattern recognition system", 39.09715845625779]
["data characteristics", 38.94451955620188]
["good representations", 38.94451955620188]
["previous experiments", 38.94451955620188]
["tournament selection", 38.94451955620188]
["weightsharing layers", 38.94451955620188]
["weight vector", 38.90173192149997]
["data engineering", 38.816242111356935]
["semantic hashing", 38.816242111356935]
["unlabeled videos", 38.816242111356935]
["nonlinear dimensionality reduction", 38.789965770777776]
["variational parameters", 38.63803066697895]
["network embedding", 38.602531812765946]
["marginal distribution", 38.563950877830024]
["abhinav gupta", 38.47424036192305]
["d wardefarley", 38.47424036192305]
["image regions", 38.47424036192305]
["lecture notes", 38.47424036192305]
["output vector", 38.47424036192305]
["xiangyu zhang", 38.47424036192305]
["classification layer", 38.44523084394289]
["semantic information", 38.44523084394289]
["person reidentification", 38.409804145132085]
["honglak lee", 38.36632436477393]
["testing set", 38.36632436477393]
["tim menzies", 38.36632436477393]
["gaussian distribution", 38.36098271531513]
["feedback signals", 38.354143990983644]
["intermediate layers", 38.277706729163725]
["lateral connections", 38.277706729163725]
["marcaurelio ranzato", 38.277706729163725]
["search process", 38.266331279421244]
["cognitive science", 38.24838014475892]
