["deep learning", 2494.1352311450464]
["search results", 125.8627341816508]
["input layer", 125.58976491281466]
["class label", 125.17013324007496]
["good performance", 124.76649250079015]
["l feifei", 124.76649250079015]
["recognition tasks", 124.3465856558006]
["energy function", 124.29950423059144]
["selective search", 122.68705095911031]
["baseline methods", 121.99390377855038]
["r salakhutdinov", 121.86225904959946]
["acquisition functions", 121.78089750893692]
["stateoftheart results", 121.78089750893692]
["average precision", 121.57060894495763]
["source code", 121.20270651599037]
["side information", 120.60760941743048]
["visual representations", 120.55065568097433]
["benchmark datasets", 120.3445695560403]
["heterogeneous transfer learning", 120.18955215698011]
["wide range", 119.73442483569039]
["domain knowledge", 119.45236411649725]
["random initialization", 117.97524446178264]
["image data", 117.83817828851883]
["document classification", 117.58103309734311]
["svm propdcg", 117.49686836712016]
["deep learning architectures", 117.33179242975412]
["acquisition function", 116.83355866860565]
["lower layers", 116.79061254003602]
["small number", 116.79061254003602]
["c szegedy", 116.45290259881963]
["skip connections", 116.44872633407081]
["r fergus", 116.4487263340708]
["cifar10 dataset", 116.44615864739504]
["learning approach", 116.16174710630486]
["racial bias", 115.09897309432179]
["mnist dataset", 114.14024640703839]
["mutation operators", 114.05851629236403]
["deep learning models", 113.83782639505165]
["yann lecun", 112.82666955670825]
["hidden unit", 112.70107782152343]
["speech synthesis", 112.41587001081295]
["morgan kaufmann", 112.38408334574171]
["regularization term", 112.3794210381858]
["action recognition", 111.96387441113563]
["vertex classification", 111.88619958633579]
["contrastive divergence", 110.71552060210696]
["j schmidhuber", 110.29282237084608]
["unlabelled data", 110.25632961630427]
["learning process", 109.97935264884464]
["largescale image recognition", 109.96274883578172]
["principal component analysis", 109.96274883578172]
["statistical machine translation", 109.88759054352468]
["input vector", 109.64650592189551]
["variational distribution", 109.52062430737536]
["restricted boltzmann machines", 109.4371144745604]
["software language models", 109.32505176396933]
["j wang", 109.29732762291135]
["hierarchical representations", 109.29630793374668]
["long shortterm memory", 109.095387351756]
["image retrieval", 108.7733497442721]
["prior knowledge", 108.3220080440884]
["sentiment classification", 108.19200648532353]
["learning approaches", 108.10297394939646]
["input features", 107.87146834802368]
["minibatch size", 107.32166473768717]
["acm international conference", 107.29698522764157]
["vector representations", 106.86175338753034]
["large amount", 106.85098594088402]
["learning method", 106.69717792342708]
["network parameters", 106.36568069057884]
["stateoftheart performance", 106.22290222065062]
["evolutionary computation", 106.14699793362138]
["classification problem", 105.64741528085388]
["test images", 105.5073920031283]
["deep belief nets", 105.35837144511169]
["surrogate model", 105.34315282287596]
["deep learning techniques", 104.87577640148221]
["computational cost", 104.77597622373597]
["unsupervised domain adaptation", 104.75687935519439]
["distributed representations", 104.1484449657368]
["information theory", 104.05338328426193]
["random walks", 103.26167633563469]
["unseen classes", 102.92323585499508]
["convolutional deep belief networks", 102.26445521386869]
["implementation details", 102.00440096082443]
["relevance judgments", 101.87758867915883]
["_ i1", 101.8156191889164]
["image descriptions", 101.16301152636576]
["url https", 101.0723305574661]
["highway networks", 100.85291477147204]
["learning techniques", 100.5315594315399]
["alex krizhevsky", 100.19785744078177]
["fair comparison", 100.19785744078177]
["word representation", 99.81648139374232]
["previous section", 99.81319400063212]
["k saenko", 99.81319400063211]
["j donahue", 98.87510598012987]
["accelerating deep network training", 98.73809468925252]
["nrl algorithms", 98.60477840653375]
["test sets", 98.32579983579582]
["variational autoencoders", 98.27520306152879]
["evaluation results", 98.27263976846959]
["highlevel features", 98.27263976846959]
["large datasets", 97.64512119576456]
["learning architecture", 97.1905239734785]
["unsupervised manner", 97.16648631249252]
["test classes", 96.91135934173201]
["link prediction", 96.81279468940402]
["qm  tℓ", 96.75501133831497]
["probabilistic model", 96.57759851665924]
["v vanhoucke", 95.91581091193483]
["adversarial examples", 95.86343275372771]
["distribution p", 95.63441084939103]
["internal covariate shift", 95.34161491043837]
["information processing", 94.79196856965501]
["j hoffman", 94.48065682545744]
["learned features", 94.26801655615256]
["softmax layer", 93.62065154734609]
["binary codes", 93.598150475348]
["deep belief network", 93.24056767360395]
["l deng", 93.17149239985886]
["predictive accuracy", 93.04427174165951]
["linear regression", 92.92939768504388]
["traditional software", 92.86770048017371]
["big data", 92.85506268808805]
["deep residual learning", 92.73127360074949]
["sparse representations", 92.73127360074949]
["optimization algorithms", 92.65385408070638]
["reconstruction loss", 92.65167987777065]
["convolutional architecture", 92.5299416798101]
["generative adversarial nets", 92.28343224812122]
["o vinyals", 92.28343224812122]
["p vincent", 92.28343224812122]
["target instances", 92.18857501447272]
["contractive autoencoders", 92.16356108009043]
["review rating prediction", 92.16356108009043]
["aaron courville", 92.07370683747514]
["base categories", 92.07370683747514]
["fullyconnected layers", 91.33567313170269]
["building blocks", 91.26129177714449]
["score matching", 91.04747787172641]
["data distributions", 90.17959884636034]
["model adaptation", 90.10913347279289]
["prediction accuracy", 90.06519230391464]
["word embedding", 89.90388636222647]
["comprehensive survey", 89.87196820661973]
["r girshick", 89.80081862676779]
["kl divergence", 89.77322751115379]
["genetic algorithms", 89.6015244947811]
["imagenet large scale visual recognition challenge", 89.51186685654442]
["input images", 89.45663939236802]
["special case", 89.45663939236802]
["weighted sum", 89.45663939236802]
["wide variety", 89.45663939236802]
["highdimensional data", 89.37267949436072]
["time step", 89.20731783985052]
["deep learning algorithms", 88.98550724974248]
["social networks", 88.91431493618924]
["input x", 88.89736891473747]
["advances neural inf", 88.3331693749932]
["fast learning algorithm", 87.79383804601619]
["g e", 87.61433002128176]
["random fields", 87.57469949047248]
["d erhan", 87.5659567074891]
["x zhang", 87.5659567074891]
["data point", 87.49823353377374]
["prior work", 87.49823353377374]
["feature engineering", 87.35168971527106]
["oriol vinyals", 87.20827815369225]
["semantic space", 87.08889187730352]
["ecom search", 86.80380887530103]
["deep generative models", 86.54918869403285]
["tiny images", 86.32422982074135]
["acoustic modeling", 86.02665971952511]
["basis functions", 85.84519137494006]
["accuracy", 85.6802878033204]
["context information", 85.38873039582677]
["ranking models", 85.37350461305361]
["generalization performance", 85.36212929616283]
["shortterm memory", 85.33411956226882]
["conditional distributions", 85.30020935900731]
["r socher", 85.25710320887326]
["feature transformation", 85.19685762068859]
["backpropagation algorithm", 84.7637300548626]
["intermediate domain", 84.75777918600538]
["cambridge university press", 84.71050998855854]
["semantic similarity", 84.40725073610463]
["annual international acm sigir conference", 84.17430017863099]
["euclidean distance", 83.82078097898876]
["model selection", 83.74124468023757]
["social network", 83.57014877114985]
["visual features", 83.53293312630663]
["receptive fields", 83.48572708077563]
["weight matrix", 83.4774427246573]
["global optimization", 82.97964395832696]
["target task", 82.72738691154379]
["ranking model", 82.71961677813457]
["reference sentences", 82.44429141666032]
["software engineering", 82.16865664605231]
["promising results", 82.16318697763028]
["feature selection", 81.90562212817062]
["test error", 81.57730043750334]
["b scholkopf", 81.5284392751446]
["upper bound", 81.5284392751446]
["image colorization", 81.41213784740864]
["ladder network", 81.28296575214996]
["cnn architecture", 81.12835695945098]
["j weston", 81.09822012551359]
["sofware engineering", 80.97207192707711]
["superior performance", 80.88477138595775]
["marginal likelihood", 80.80849198379008]
["heterogeneous domain adaptation", 80.5079222384851]
["feature hierarchies", 80.48133209721603]
["y jia", 80.47189562170502]
["learning rates", 80.13137709922694]
["learning framework", 80.08738412503955]
["good results", 79.51701279321601]
["nips workshop", 79.51343008130763]
["visual applications", 79.49985243749389]
["object categories", 79.32997363357406]
["visual attributes", 79.32997363357406]
["ian goodfellow", 79.17171988845776]
["previous layer", 79.17171988845776]
["network model", 79.08593852173071]
["clickthrough data", 78.85777140956468]
["sentence generation", 78.80704326592532]
["parameter space", 78.53345583196409]
["feature detectors", 78.38556918555531]
["distributed representation", 78.19431691251557]
["time complexity", 78.11683272410221]
["dl models", 77.72681942326876]
["distributional method", 77.63532216194729]
["object classification", 77.63532216194729]
["negative samples", 77.63248422271387]
["partition function", 77.55830883688041]
["latent representation", 77.53383808068983]
["deep software language models", 77.4478040896889]
["active learning", 77.43017612040393]
["nearest neighbors", 77.3467242927347]
["graphical models", 77.17038610234057]
["m ranzato", 76.90286020676768]
["mutation testing", 76.81701695146688]
["parameter server", 76.80070760604194]
["data representation", 76.55541345832745]
["decision boundaries", 76.55541345832745]
["early stopping", 76.53266255884249]
["cnn architectures", 76.49676028951784]
["empirical methods", 76.49676028951784]
["largescale hierarchical image database", 76.3893093542541]
["stateoftheart methods", 76.11306094308557]
["feature map", 75.99483479945606]
["j malik", 75.89049581315722]
["network models", 75.87289822643868]
["colorful image colorization", 75.80424791809958]
["computational intelligence", 75.66024182738775]
["search spaces", 75.37005035002362]
["evolutionary algorithms", 75.25186118229959]
["learned representation", 75.21536636505235]
["standard deviations", 75.08319396874423]
["indexing big datava survey", 74.93622037449408]
["ruslan salakhutdinov", 74.89330683884977]
["gaussian distribution", 74.84450992736748]
["single model", 74.54719949364001]
["experimental setup", 74.42707276582624]
["inf retrieval", 74.38353136638456]
["mmv problem", 74.3347534567495]
["invariant features", 74.32384520304423]
["neighbor search", 74.32093329691621]
["ir models", 74.30614025173398]
["training phase", 74.27061341917226]
["large scale", 74.19159553001526]
["descriptive accuracy", 73.89472941433178]
["source domains", 73.89360522922723]
["binary classification", 73.78489672600296]
["david wardefarley", 73.66354694546162]
["koray kavukcuoglu", 73.66354694546162]
["output units", 73.48223950087373]
["greedy layerwise training", 73.22942501575156]
["maxout networks", 73.11735542975967]
["robust features", 73.11735542975967]
["case study", 73.02484152066832]
["text categorization", 72.95665470601291]
["cooccurrence data", 72.95524360944756]
["p perona", 72.78045395879425]
["attention mechanism", 72.76970619939917]
["test inputs", 72.73615660821724]
["image patches", 72.67356512807687]
["k grauman", 72.50841105209524]
["optimization procedure", 72.41870890725197]
["catastrophic forgetting", 72.11636696637044]
["learned representations", 72.11636696637044]
["acm transactions", 72.0873067782343]
["online", 72.0211464959023]
["network representation", 71.97713141391507]
["search engines", 71.97429080768887]
["function evaluations", 71.89757456529578]
["video content", 71.81858200892303]
["mask", 71.58670048116323]
["intermediate domains", 71.46961281193093]
["peer competitors", 71.39415959767436]
["p sermanet", 71.38013788281542]
["maximum likelihood", 71.33437498487734]
["training dataset", 71.25553016156238]
["belief network", 71.25454789961198]
["martin wistuba", 71.25454789961198]
["biological cybernetics", 71.09397642724127]
["ieee trans med imaging", 71.09397642724127]
["window size", 71.03764745665173]
["conditional distribution", 70.97653554443745]
["handcrafted features", 70.89899714077778]
["christian szegedy", 70.8303336014054]
["deep autoencoders", 70.8303336014054]
["vertex attributes", 70.8303336014054]
["temporal coherence", 70.81410806845604]
["generative adversarial network", 70.74490553857284]
["computational resources", 70.23507043681295]
["covariance matrix", 69.96805127930133]
["hessianfree optimization", 69.9171842676548]
["explanation model", 69.88592915338667]
["variational autoencoder", 69.87672824070675]
["sparse vector", 69.62005398824171]
["da methods", 69.60891858051231]
["jurgen schmidhuber", 69.36892218950794]
["image processing", 69.31471805599453]
["training classes", 69.31471805599453]
["weak supervision", 69.31471805599453]
["k kavukcuoglu", 69.25363265146149]
["noisecontrastive estimation", 69.2125741860909]
["gp ei mcmc", 69.07755278982138]
["vice versa", 69.07755278982138]
["grid search", 69.05938385659307]
["deep autoencoder", 68.96814446571456]
["deep supervision", 68.96814446571456]
["deep model", 68.93364122150925]
["recognition challenge", 68.88232015349244]
["image captioning", 68.62157087543459]
["sf chang", 68.62157087543459]
["medical images", 68.61549056999672]
["query terms", 68.57980480203341]
["conditional random fields", 68.40111127844926]
["dropout training", 68.39052181524794]
["random variables", 68.39052181524794]
["skipgram model", 68.17564768172751]
["b schiele", 68.11396189742281]
["m welling", 68.11396189742281]
["main idea", 68.11396189742281]
["k chen", 68.08685983066609]
["interpretation methods", 68.00293397388296]
["classification loss", 67.72209652082813]
["gabriela csurka", 67.70125502755525]
["multiclass classification", 67.5963923222322]
["exp", 67.48409085191976]
["binary hash codes", 67.43047758853794]
["international symposium", 67.41312564247671]
["andrew y ng", 67.14106763835437]
["domain shift", 67.092479544276]
["label spaces", 67.092479544276]
["exhaustive search", 67.05271580933045]
["sparse autoencoders", 66.98598677603651]
["basic idea", 66.77496769682733]
["computational efficiency", 66.73913043730686]
["ambrish rawat", 66.68868329399996]
["canonical correlation analysis", 66.66346868057825]
["evaluation measures", 66.54432092916156]
["regression trees", 66.54212933375474]
["handwritten digits", 66.47855043161178]
["tejaswini pedapati", 66.47855043161178]
["text data", 66.32871692833713]
["q yang", 66.29510036143803]
["document retrieval", 65.99682180529575]
["multiple tasks", 65.97643324038145]
["original image", 65.97643324038145]
["latent dirichlet allocation", 65.91673732008658]
["deep learning method", 65.9061100181878]
["computer graphics", 65.87221024930703]
["training objective", 65.51509317897973]
["approximate posterior", 65.23976652264477]
["final performance", 65.16390691329298]
["multiple levels", 64.99320482645304]
["validation data", 64.99320482645304]
["validation sets", 64.99320482645304]
["phone recognition", 64.94596742528864]
["nearest neighbor search", 64.8002137958691]
["jiafeng guo", 64.743172365556]
["baseline method", 64.65469855131526]
["learned vertex representations", 64.62275025158095]
["j deng", 64.50334089220998]
["d m blei", 64.4626877920749]
["conditional probability", 64.39822735792946]
["crossentropy loss", 64.21950246527423]
["mc dropout", 64.21653981572284]
["independent component analysis", 64.19760057887318]
["cnn features", 64.19342178619]
["ib problem", 64.01186558523447]
["future research", 63.977686001039714]
["optimization problems", 63.93497119219188]
["evaluation protocol", 63.79617788193954]
["deep learning approaches", 63.56107660695891]
["hinge loss", 63.55134856663567]
["principal components", 63.509524199344604]
["target images", 63.48249659717303]
["top1 accuracy", 63.39089126297798]
["joint training", 63.3373759107662]
["pascal vincent", 63.3373759107662]
["correlation analysis", 63.284844278828054]
["gradient ascent", 63.18783802571823]
["risk minimization", 62.98451203324973]
["hidden markov models", 62.910377744633806]
["imagenet dataset", 62.84534437076837]
["collaborative filtering", 62.70988431858299]
["generative distribution", 62.70988431858299]
["inference model", 62.672018939794]
["raw data", 62.383246250395075]
["l2 regularization", 62.33069356923676]
["geoffrey hinton", 62.285154625350835]
["hugo larochelle", 62.285154625350835]
["nonzero entries", 62.285154625350835]
["unlabeled video", 62.285154625350835]
["k simonyan", 62.16979751083924]
["n srivastava", 62.12266624470001]
["z ghahramani", 62.12266624470001]
["classification problems", 62.03799270088388]
["synthetic data", 62.01784724595857]
["embedding space", 61.89829031090766]
["neural nets", 61.895671729107946]
["toxicity prediction", 61.83321856249525]
["inception architecture", 61.82084906716632]
["marginal distributions", 61.82084906716632]
["deep convolutional activation feature", 61.385604514951815]
["deep recurrent neural networks", 61.221552869918796]
["classification results", 61.20264057649466]
["w liu", 61.158640672495814]
["kernel machines", 60.93112952479973]
["vertex labels", 60.917547239711496]
["research directions", 60.8517389027731]
["important role", 60.69831858115094]
["maximum number", 60.69831858115094]
["neural probabilistic language model", 60.44091704532003]
["target samples", 60.17050711522789]
["biomedical imaging", 60.11973256424022]
["honglak lee", 59.94738181995927]
["efficient estimation", 59.914645471079815]
["response surface", 59.887916400379275]
["test image", 59.867212417845195]
["training algorithm", 59.7343496631874]
["empirical study", 59.577104424248624]
["higher accuracy", 59.577104424248624]
["general framework", 59.49748022518054]
["pretrained models", 59.49748022518054]
["metric learning", 59.35143357415677]
["deep representations", 59.315499016369024]
["learning problem", 59.29074344481993]
["semantic matching", 59.11971844597304]
["lecture notes", 58.99383522161534]
["neural models", 58.99383522161534]
["softmax model", 58.99383522161534]
["adversarial training", 58.916068046561826]
["querycentric context", 58.916068046561826]
["class probabilities", 58.888779583328805]
["nasnet search space", 58.888779583328805]
["qualitative results", 58.888779583328805]
["validation accuracy", 58.888779583328805]
["network weights", 58.80337579536228]
["language understanding", 58.72980661380801]
["twostream architecture", 58.72980661380801]
["object classes", 58.7190255839395]
["generic visual recognition", 58.64573768438668]
["image classification tasks", 58.64573768438668]
["unlabeled target instances", 58.64573768438668]
["output space", 58.643796934996814]
["product search", 58.46527007147649]
["input distribution", 58.38550950950252]
["andrew zisserman", 58.224363167035406]
["ablation study", 58.05926125153569]
["kernel methods", 58.05926125153569]
["svm classifier", 58.05926125153569]
["deep convolutional neural network", 58.04202552034358]
["usenix security symposium", 57.93976484762761]
["christopher d manning", 57.845926316745036]
["convolution layers", 57.807435157923294]
["output layers", 57.71136054288458]
["negative examples", 57.60867132914306]
["learning task", 57.56886335635893]
["d anguelov", 57.564627324851145]
["retrieval performance", 57.50764604588688]
["prior information", 57.372570217138374]
["sparse representation", 57.3385059104578]
["small set", 57.12783901074171]
["image database", 57.0996040407665]
["deep features", 57.070123203519195]
["noneuclidean domains", 56.918913197525825]
["conditional gan", 56.869054223146414]
["research groups", 56.869054223146414]
["mitosis detection", 56.66426688112432]
["object detectors", 56.56080993369153]
["receptive field", 56.53054794800863]
["random walk", 56.50692338507465]
["multilayer perceptron", 56.49280523331241]
["game content", 56.442879616613155]
["higher levels", 56.428885864153806]
["nick craswell", 56.428885864153806]
["tomas mikolov", 56.428885864153806]
["downpour sgd", 56.32455072852801]
["edge detection", 56.24490933742519]
["recognition accuracy", 56.120051257911435]
["multilabel classification", 56.10040723341721]
["intermediate layers", 55.94434060416236]
["multimodal learning", 55.94434060416236]
["svm proprank", 55.91039962023001]
["text corpora", 55.91039962023001]
["common subspace", 55.78583414270553]
["hierarchical structure", 55.63876416044969]
["humanlevel performance", 55.63876416044969]
["hashing methods", 55.61918489956078]
["inference network", 55.601811877103245]
["similar approach", 55.451774444795625]
["classification algorithms", 55.43619476161901]
["global vectors", 55.420203921920425]
["mutation score", 55.420203921920425]
["trevor darrell", 55.420203921920425]
["performance improvement", 55.39373114808165]
["stochastic backpropagation", 55.3876411463652]
["environmental science  wwwfrontiersinorg", 55.33319181170904]
["experimental design", 55.29002083101427]
["data analysis", 55.288908371948686]
["weight decay", 55.22014777306667]
["c d manning", 55.151591274362524]
["c l zitnick", 55.151591274362524]
["f perronnin", 55.151591274362524]
["visual recognition", 55.131165011723134]
["g corrado", 54.93061443340549]
["quoc v le", 54.93061443340549]
["research questions", 54.917063400027125]
["deeplysupervised nets", 54.80140387902161]
["softmax function", 54.75862726423568]
["h lee", 54.72088902275941]
["probability distributions", 54.72088902275941]
["jeff donahue", 54.66794629533601]
["international workshop", 54.60841667599692]
["ranking function", 54.598670222568]
["question answering", 54.555766930290105]
["weight vector", 54.547923002015345]
["citation network", 54.527578204049036]
["e tzeng", 54.48548417354877]
["recognition performance", 54.47921200176898]
["recommender systems", 54.472121114579146]
["microsoft research", 54.4353347737111]
["autoencoding variational bayes", 54.41915810659449]
["real data", 54.27144706020462]
["retrieval models", 54.21951279046684]
["cosine distance", 54.1610040220442]
["covariate shift", 54.1610040220442]
["diagonal matrix", 54.1610040220442]
["large data sets", 54.1610040220442]
["similar results", 54.1610040220442]
["change point detection", 54.09324293377053]
["c schmid", 54.06548008367573]
["energybased model", 53.83105353706811]
["ieee sig proc mag", 53.83105353706811]
["depth images", 53.42549297044201]
["linear units", 53.42549297044201]
["recognition systems", 53.39249348888478]
["discriminative features", 53.303401670795544]
["hyperparameter settings", 53.303401670795544]
["semantic information", 53.17424785558334]
["fewshot classification weight generator", 53.12164386887987]
["anomaly detection", 53.02156401019491]
["letor methods", 53.008953387538426]
["pretrained networks", 52.99990162499593]
